Isbn,Author_id
0195153445,1
0195153445,2
0195153448,1
0195153448,2
0002005018,3
0060973129,4
0374157065,5
0393045218,6
0393045218,7
0399135782,8
0425176428,9
0671870432,10
0671870432,11
0679425608,12
074322678X,13
0771074670,14
080652121X,15
0887841740,16
1552041778,17
1558746218,18
1558746218,19
1558746218,20
1567407781,21
1567407781,22
1575663937,23
1881320189,24
0440234743,25
0452264464,26
0609804618,27
0609804618,28
0609804618,29
1841721522,30
1841721522,31
1841721522,32
1879384493,33
0061076031,34
0439095026,35
0689821166,36
0689821166,37
0689821166,38
0971880107,39
0345402871,40
0345417623,40
0684823802,41
0375759778,42
0425163091,43
3404921038,44
3404921038,45
3404921038,46
3442353866,47
3442353866,48
3442410665,49
3442446937,50
3442446937,51
0375406328,52
0446310786,53
0449005615,54
0060168013,55
038078243X,56
055321215X,57
067176537X,58
0061099686,59
0553582909,60
0671888587,61
0553582747,60
0425182908,62
042518630X,63
0440223571,64
0812523873,65
0842342702,66
0842342702,67
0440225701,25
0060914068,68
0156047624,69
0245542957,70
0380715899,71
0553280333,72
0553280333,73
0553280333,74
0961769947,75
0964778319,76
0671623249,77
0679810307,78
0679865691,78
2070423204,79
0345260317,80
0394743741,81
042511774X,82
0804106304,8
1853262404,83
0312970242,84
0312970242,85
1853260053,86
1414035004,87
1414035004,88
0060938412,89
0140067477,90
0345465083,54
0451625889,91
1558531025,92
0441783589,93
0394895894,94
0375410538,95
0966986105,96
087113375X,97
0340767936,98
0743403843,99
0060930365,100
0060177586,101
0071416331,102
0071416331,103
0375509038,104
0553062042,105
0316769487,106
0679429220,107
0671867156,61
0312252617,108
0312261594,109
0316748641,110
0316973742,111
0385235941,112
0446677450,113
0446677450,114
0451166892,115
0553347594,116
0671621009,117
067976397X,118
0684822733,119
0684822733,120
0786868716,121
0671864769,122
0671864769,123
0671521519,124
0440222303,125
0440222303,126
0312953453,127
0446608653,128
0446612545,129
0446612545,130
0446612618,128
0451208080,131
0553584383,132
0671027360,133
